Model Name,Release Year,Color,Series
Troy Soldier,2012,Gold Chrome & Dark Red,2012 New Models
Troy Soldier,2012,Green,2012 New Models
'64 Chevy Chevelle SS,2012,Metalflake Red,2012 New Models
'64 Chevy Chevelle SS,2012,Metalflake Steel Blue,2012 New Models
Imparable,2012,Black,2012 New Models
Imparable,2012,Blue,2012 New Models
Ford Falcon Race Car,2012,Blue,2012 HW Premiere
Ford Falcon Race Car,2012,Pearl White,2012 New Models
BMW M3 GT2,2012,White,2012 New Models
BMW M3 GT2,2012,White,2012 New Models
BMW M3 GT2,2012,Black,2012 New Models
BMW M3 GT2,2012,Black,10-Pack Exclusive
'71 Plymouth Road Runner,2012,Metalflake Magenta,2012 New Models
'71 Plymouth Road Runner,2012,Red,2012 New Models
Growler,2012,Dark Blue,2012 New Models
Growler,2012,Brown,2012 New Models
2012 Mustang Boss 302 Laguna Seca,2012,Black,2012 New Models
2012 Mustang Boss 302 Laguna Seca,2012,Metalflake Gray,2012 New Models
2012 Mustang Boss 302 Laguna Seca,2012,Blue,2012 HW Premiere
'12 Camaro ZL1,2012,Red,2012 New Models
'12 Camaro ZL1,2012,Dark Blue,2012 New Models
'12 Camaro ZL1,2012,Yellow,2012 New Models
'12 Camaro ZL1,2012,Green,2012 New Models
2012 Camaro ZL-1,2012,Spectraflame Red,Toy Fair 2012
Funny Side Up,2012,Translucent Dark Blue,2012 New Models
Funny Side Up,2012,Translucent Dark Blue,2012 New Models
Funny Side Up,2012,Red,2012 New Models
2013 Viper SRT,2012,Metalflake Dark Red,2012 New Models
2013 Viper SRT,2012,Metalflake Dark Red,2012 New Models
2013 Viper SRT,2012,White,IZOD Exclusive
'12 Lamborghini Aventador,2012,Orange,2012 New Models
Lamborghini Aventador LP 700-4,2012,Metalflake Silver,2012 New Models
Lamborghini Aventador,2012,Yellow,Super Speeders
Hypertruck,2012,Red,2012 New Models
Mars Rover Curiosity,2012,White,2012 New Models
Spin King,2012,Matte Blue,2012 New Models
Spin King,2012,Metalflake Dark Green,2012 New Models
'73 Pontiac Firebird,2012,Green,2012 New Models
'73 Pontiac Firebird,2012,Buccaneer Red,2012 New Models
K.I.T.T. Knight Industries Two Thousand,2012,Black,2012 New Models
K.I.T.T. Knight Industries Two Thousand,2012,Black,Comic- Con Exclusive
K.A.R.R. Knight Industries Two Thousand,2012,Black,Comic- Con Exclusive
BMW Z4 M,2012,White,2012 New Models
BMW Z4 M,2012,Black,2012 New Models
Quicksand,2012,Metalflake Dark Copper,2012 New Models
Quicksand,2012,Matte Blue,2012 New Models
Chevrolet SS,2012,Green,2012 New Models
BMW 2002,2012,Orange,2012 New Models
BMW 2002,2012,White,2012 New Models
1985 Chevrolet Camaro IROC-Z,2012,Red,2012 New Models
